,Corr,P
MYOM3,-0.444993173180502,9.76841490792852e-26
N4BP2L2,-0.404850914202514,3.49893814576415e-21
NAA16,-0.40410662999906,4.1948754731148e-21
NAALADL1,-0.486049586533724,4.57494406481089e-31
NAB1,-0.411359791665808,7.02208301094501e-22
NABP1,-0.417800000315427,1.38403268262499e-22
NACAD,-0.419437703012329,9.1063294932139e-23
NAPSA,-0.409274462913231,1.17921284193851e-21
NAV1,-0.414837800589684,2.93397787942013e-22
NAV2,-0.531791853056316,6.40649104365637e-38
NAV3,-0.483515850000902,1.02467929458256e-30
NAXE,0.40039741678445,1.02895129059268e-20
NBEAL2,-0.549589011418798,7.0003083788703e-41
NBL1,-0.413292115949906,4.32954357350881e-22
NBPF20,-0.411939406757639,6.07590599598179e-22
NCALD,-0.440262073261995,3.62058599477784e-25
NCKAP5L,-0.458835734135304,1.87512882580619e-27
NCOA7,-0.467328824044045,1.51414927544426e-28
NDEL1,-0.492697977507414,5.33879511987401e-32
NDNF,-0.403036123755718,5.44108276399897e-21
NDRG1,-0.442373954211197,2.02259968629546e-25
NDUFA9,0.440830808375538,3.09638402746797e-25
NDUFAF7,-0.403597539004417,4.74780040856553e-21
NDUFB9,0.435828041515231,1.21327770156915e-24
NECTIN1,-0.468763549183685,9.82903836896625e-29
NEDD9,-0.563074773307633,3.01844717209098e-43
NEK3,-0.463286511709818,5.05987962783206e-28
NELL2,-0.481739249613546,1.79640194283079e-30
NET1,-0.505738529631985,6.87046628343679e-34
NEURL1B,-0.520189262608734,4.41191028712143e-36
NFASC,-0.4253926231732,1.94902067794206e-23
NFATC1,-0.420332322377005,7.23783411826096e-23
NFE2L3,-0.409202914513139,1.20029592328779e-21
NFIL3,-0.402850661629165,5.69134411321728e-21
NFKB2,-0.494177683917743,3.28854770288337e-32
NFKBID,-0.4726417145531,3.0254742834056e-29
NFKBIZ,-0.628461591708998,2.02999007998564e-56
NHSL1,-0.42812059964572,9.51973661278121e-24
NID1,-0.564777347785909,1.49070524465794e-43
NINJ2,-0.458916676197434,1.83130076130748e-27
NIPAL2,-0.402624059072987,6.01256635898972e-21
NKTR,-0.444200557740235,1.21833353490903e-25
NKX3-2,-0.418819873922957,1.06671014952757e-22
NLGN2,-0.545237646732261,3.85138837419294e-40
NLGN3,-0.478142147862971,5.54254705340758e-30
NLRP1,-0.433660718463055,2.17702264551907e-24
NLRP3,-0.402439347132634,6.28757680202708e-21
NNAT,-0.401682314059771,7.55026875873328e-21
NNMT,-0.531795656629895,6.39743616653507e-38
NOD1,-0.514150233241704,3.74635052536058e-35
NOL4L,-0.480792328260207,2.41977068468442e-30
NOS3,-0.493562109985826,4.02414756025984e-32
NOTCH1,-0.451117483884524,1.73762224445713e-26
NOTCH3,-0.601128741217518,1.52864165876722e-50
NOX4,-0.539283044631245,3.81558012659736e-39
NPHP3,-0.430356014502795,5.26626263163713e-24
NPR2,-0.565694401303746,1.01770712790613e-43
NR2C1,-0.422002627973566,4.70540145657719e-23
NR2C2,-0.422406456626476,4.23863286003869e-23
NR2F1,-0.433834864379316,2.07744360237642e-24
NR2F2,-0.445607384296088,8.22817395550744e-26
NR4A1,-0.457321913668658,2.91492802746731e-27
NR4A2,-0.511277361669093,1.0210684612841e-34
NR4A3,-0.40990490145684,1.00855259149835e-21
NRARP,-0.401897631959003,7.16766065386474e-21
