"","Freq","Genes"
"PDZD3",1,"PDZD3"
"PDZD8",1,"PDZD8"
"PDZK1",1,"PDZK1"
"PECR",1,"PECR"
"PELI1",1,"PELI1"
"PELI3",1,"PELI3"
"PELP1",1,"PELP1"
"PENK",1,"PENK"
"PEX10",1,"PEX10"
"PEX5",1,"PEX5"
"PEX7",1,"PEX7"
"PFKFB4",1,"PFKFB4"
"PFKP",1,"PFKP"
"PGBD2",1,"PGBD2"
"PGBD5",1,"PGBD5"
"PGLYRP3",1,"PGLYRP3"
"PGM2",1,"PGM2"
"PGM5",1,"PGM5"
"PHAX",1,"PHAX"
"PHF14",1,"PHF14"
"PHF20",1,"PHF20"
"PHF20L1",1,"PHF20L1"
"PHF21A",1,"PHF21A"
"PHF23",1,"PHF23"
"PHF6",1,"PHF6"
"PHF8",1,"PHF8"
"PHLDB2",1,"PHLDB2"
"PHOX2A",1,"PHOX2A"
"PHTF2",1,"PHTF2"
"PI4K2B",1,"PI4K2B"
"PI4KA",1,"PI4KA"
"PI4KB",1,"PI4KB"
"PIAS3",1,"PIAS3"
"PIDD1",1,"PIDD1"
"PIGC",1,"PIGC"
"PIGM",1,"PIGM"
"PIGO",1,"PIGO"
"PIGZ",1,"PIGZ"
"PIK3C3",1,"PIK3C3"
"PIK3CB",1,"PIK3CB"
"PIK3CD",1,"PIK3CD"
"PIK3R3",1,"PIK3R3"
"PINK1",1,"PINK1"
"PIP4K2C",1,"PIP4K2C"
"PIR",1,"PIR"
"PITPNA",1,"PITPNA"
"PITPNM1",1,"PITPNM1"
"PITPNM2",1,"PITPNM2"
"PIWIL3",1,"PIWIL3"
"pk",1,"pk"
"PKD2L2",1,"PKD2L2"
"PKLR",1,"PKLR"
"PKM",1,"PKM"
"PKN2",1,"PKN2"
"PLA1A",1,"PLA1A"
"PLA2G2A",1,"PLA2G2A"
"PLA2G2D",1,"PLA2G2D"
"PLA2G3",1,"PLA2G3"
"PLA2G4A",1,"PLA2G4A"
"PLA2G4D",1,"PLA2G4D"
"PLA2G5",1,"PLA2G5"
"PLA2G6",1,"PLA2G6"
"PLAG1",1,"PLAG1"
"PLCB1",1,"PLCB1"
"PLCB4",1,"PLCB4"
"PLCD1",1,"PLCD1"
"PLCG1",1,"PLCG1"
"PLD3",1,"PLD3"
"PLEKHA3",1,"PLEKHA3"
"PLEKHA4",1,"PLEKHA4"
"PLEKHF2",1,"PLEKHF2"
"PLEKHM2",1,"PLEKHM2"
"PLIN5",1,"PLIN5"
"PLK4",1,"PLK4"
"PLOD2",1,"PLOD2"
"PLSCR2",1,"PLSCR2"
"PLSCR4",1,"PLSCR4"
"PLTP",1,"PLTP"
"PLXDC2",1,"PLXDC2"
"PLXNA3",1,"PLXNA3"
"PLXNB1",1,"PLXNB1"
"PLXNB2",1,"PLXNB2"
"PLXNB3",1,"PLXNB3"
"PLXND1",1,"PLXND1"
"PMCH",1,"PMCH"
"PMP2",1,"PMP2"
"PMPCB",1,"PMPCB"
"PMS1",1,"PMS1"
"PNLDC1",1,"PNLDC1"
"PNMA5",1,"PNMA5"
"PNMAL2",1,"PNMAL2"
"PNN",1,"PNN"
"PNOC",1,"PNOC"
"POFUT2",1,"POFUT2"
"POGLUT1",1,"POGLUT1"
"POGZ",1,"POGZ"
"POLA1",1,"POLA1"
"POLB",1,"POLB"
"POLD3",1,"POLD3"
"POLE2",1,"POLE2"
"POLL",1,"POLL"
"POLN",1,"POLN"
"POLR1A",1,"POLR1A"
"POLR3B",1,"POLR3B"
"POLR3GL",1,"POLR3GL"
"POR",1,"POR"
"POU1F1",1,"POU1F1"
"POU2F2",1,"POU2F2"
"POU2F3",1,"POU2F3"
"POU4F3",1,"POU4F3"
"PPARA",1,"PPARA"
"PPAT",1,"PPAT"
"PPFIA4",1,"PPFIA4"
"PPFIBP1",1,"PPFIBP1"
"PPID",1,"PPID"
"PPIG",1,"PPIG"
"PPIL3",1,"PPIL3"
"PPP1R12B",1,"PPP1R12B"
"PPP1R13B",1,"PPP1R13B"
"PPP1R15A",1,"PPP1R15A"
"PPP1R21",1,"PPP1R21"
"PPP1R26",1,"PPP1R26"
"PPP1R3B",1,"PPP1R3B"
"PPP1R7",1,"PPP1R7"
"PPP1R9B",1,"PPP1R9B"
"PPP2R2B",1,"PPP2R2B"
"PPP2R3A",1,"PPP2R3A"
"PPP2R5A",1,"PPP2R5A"
"PPP2R5D",1,"PPP2R5D"
"PPP3CC",1,"PPP3CC"
"PPP3R2",1,"PPP3R2"
"PPP4R4",1,"PPP4R4"
"PPP6C",1,"PPP6C"
"PPRC1",1,"PPRC1"
"PPT1",1,"PPT1"
"PPT2",1,"PPT2"
"PRAMEF5",1,"PRAMEF5"
"PRCP",1,"PRCP"
"PRDM1",1,"PRDM1"
"PRDM14",1,"PRDM14"
"PRDM15",1,"PRDM15"
"PRDM4",1,"PRDM4"
"PRDX1",1,"PRDX1"
"PRDX6",1,"PRDX6"
"PREP",1,"PREP"
"PREX2",1,"PREX2"
"PRICKLE1",1,"PRICKLE1"
"PRKAR2A",1,"PRKAR2A"
"PRKCA",1,"PRKCA"
"PRKCSH",1,"PRKCSH"
"PRKG1",1,"PRKG1"
"PRKG2",1,"PRKG2"
"PRODH2",1,"PRODH2"
"PROKR2",1,"PROKR2"
"PROSER1",1,"PROSER1"
"PROSER3",1,"PROSER3"
"PRPF18",1,"PRPF18"
"PRPS1",1,"PRPS1"
"PRR27",1,"PRR27"
"PRRC2C",1,"PRRC2C"
"PRRG1",1,"PRRG1"
"PRRT3",1,"PRRT3"
"PRSS38",1,"PRSS38"
"PRSS45",1,"PRSS45"
"PRSS48",1,"PRSS48"
"PRSS53",1,"PRSS53"
"PRUNE",1,"PRUNE"
"PRUNE2",1,"PRUNE2"
"PSG2",1,"PSG2"
"PSG5",1,"PSG5"
"PSG7",1,"PSG7"
"PSG9",1,"PSG9"
"PSMA2",1,"PSMA2"
"PSMA4",1,"PSMA4"
"PSMA6",1,"PSMA6"
"PSMB1",1,"PSMB1"
"PSMB6",1,"PSMB6"
"PSMC4",1,"PSMC4"
"PSMC5",1,"PSMC5"
"PSMD1",1,"PSMD1"
"PSMD11",1,"PSMD11"
"PSME2",1,"PSME2"
"PSME4",1,"PSME4"
"PSMG1",1,"PSMG1"
"PSPN",1,"PSPN"
"PTAR1",1,"PTAR1"
"PTBP2",1,"PTBP2"
"PTCD1",1,"PTCD1"
"PTCH1",1,"PTCH1"
"PTCHD3",1,"PTCHD3"
"PTCHD4",1,"PTCHD4"
"PTGDS",1,"PTGDS"
"PTGR2",1,"PTGR2"
"PTH2R",1,"PTH2R"
"PTK2",1,"PTK2"
"PTN",1,"PTN"
"PTPDC1",1,"PTPDC1"
"PTPN14",1,"PTPN14"
"PTPN21",1,"PTPN21"
"PTPN4",1,"PTPN4"
"PTPRA",1,"PTPRA"
"PTPRB",1,"PTPRB"
"PTPRG",1,"PTPRG"
"PTPRJ",1,"PTPRJ"
"PTPRK",1,"PTPRK"
"PTPRT",1,"PTPRT"
"PTTG2",1,"PTTG2"
"PUM1",1,"PUM1"
"PUS3",1,"PUS3"
"PVRL3",1,"PVRL3"
"PVRL4",1,"PVRL4"
"PXDNL",1,"PXDNL"
"PXMP2",1,"PXMP2"
"QPRT",1,"QPRT"
"QSER1",1,"QSER1"
"R3HDM2",1,"R3HDM2"
"RAB11FIP1",1,"RAB11FIP1"
"RAB11FIP2",1,"RAB11FIP2"
"RAB32",1,"RAB32"
"RAB33A",1,"RAB33A"
"RAB33B",1,"RAB33B"
"RAB37",1,"RAB37"
"RAB3C",1,"RAB3C"
"RAB3IP",1,"RAB3IP"
"RAB5C",1,"RAB5C"
"RAB6B",1,"RAB6B"
"RAB6C",1,"RAB6C"
"RABEP1",1,"RABEP1"
"RABGAP1L",1,"RABGAP1L"
"RAD23B",1,"RAD23B"
"RAD50",1,"RAD50"
"RAD51AP1",1,"RAD51AP1"
"RAD51AP2",1,"RAD51AP2"
"RAD54B",1,"RAD54B"
"RAD54L2",1,"RAD54L2"
"RAF1",1,"RAF1"
"RALBP1",1,"RALBP1"
"RALGAPA1",1,"RALGAPA1"
"RALGAPA2",1,"RALGAPA2"
"RALGPS2",1,"RALGPS2"
"RANBP10",1,"RANBP10"
"RANBP3L",1,"RANBP3L"
"RAP1A",1,"RAP1A"
"RAP1GAP",1,"RAP1GAP"
"RAP1GDS1",1,"RAP1GDS1"
"RAPGEF3",1,"RAPGEF3"
"RAPGEFL1",1,"RAPGEFL1"
"RAPH1",1,"RAPH1"
"RARA",1,"RARA"
"RARS2",1,"RARS2"
"RASEF",1,"RASEF"
"RASGRP1",1,"RASGRP1"
"RASSF1",1,"RASSF1"
"RASSF8",1,"RASSF8"
"RB1CC1",1,"RB1CC1"
"RBBP4",1,"RBBP4"
"RBBP8",1,"RBBP8"
"RBBP8NL",1,"RBBP8NL"
"RBFOX2",1,"RBFOX2"
"RBL1",1,"RBL1"
"RBL2",1,"RBL2"
"RBM10",1,"RBM10"
"RBM12",1,"RBM12"
"RBM15",1,"RBM15"
"RBM15B",1,"RBM15B"
"RBM22",1,"RBM22"
"RBM25",1,"RBM25"
"RBM28",1,"RBM28"
"RBM46",1,"RBM46"
"RBM4B",1,"RBM4B"
"RBM7",1,"RBM7"
"RBMS1",1,"RBMS1"
"RBMY1A1",1,"RBMY1A1"
"RBP3",1,"RBP3"
"RBPJL",1,"RBPJL"
"RBPMS",1,"RBPMS"
"RBSN",1,"RBSN"
"RC3H2",1,"RC3H2"
"RCAN1",1,"RCAN1"
"RCC1",1,"RCC1"
"RCOR2",1,"RCOR2"
"RCVRN",1,"RCVRN"
"RDH14",1,"RDH14"
"REG3A",1,"REG3A"
"REL",1,"REL"
"RENBP",1,"RENBP"
"REP15",1,"REP15"
"REPS2",1,"REPS2"
"RERE",1,"RERE"
"RERGL",1,"RERGL"
"RETN",1,"RETN"
"REV1",1,"REV1"
"REXO2",1,"REXO2"
"RFK",1,"RFK"
"RFPL2",1,"RFPL2"
"RFWD3",1,"RFWD3"
"RFX3",1,"RFX3"
"RFX5",1,"RFX5"
"RFXAP",1,"RFXAP"
"RGL2",1,"RGL2"
"RGN",1,"RGN"
"RGP1",1,"RGP1"
"RGPD8",1,"RGPD8"
"RGR",1,"RGR"
"RGS12",1,"RGS12"
"RGS21",1,"RGS21"
"RHBDF1",1,"RHBDF1"
"RHOT1",1,"RHOT1"
"RHOT2",1,"RHOT2"
"RIF1",1,"RIF1"
"RIMBP2",1,"RIMBP2"
"RIMS3",1,"RIMS3"
"RINT1",1,"RINT1"
"RIT2",1,"RIT2"
"RLIM",1,"RLIM"
"RLN1",1,"RLN1"
"RMDN2",1,"RMDN2"
"RMI1",1,"RMI1"
"RNF10",1,"RNF10"
"RNF111",1,"RNF111"
"RNF13",1,"RNF13"
"RNF139",1,"RNF139"
"RNF146",1,"RNF146"
"RNF148",1,"RNF148"
"RNF17",1,"RNF17"
"RNF170",1,"RNF170"
"RNF34",1,"RNF34"
"RNF39",1,"RNF39"
"RNF7",1,"RNF7"
"RNMT",1,"RNMT"
"RNPEPL1",1,"RNPEPL1"
"ROBO2",1,"ROBO2"
"ROCK1",1,"ROCK1"
"ROM1",1,"ROM1"
"ROPN1",1,"ROPN1"
"ROPN1B",1,"ROPN1B"
"RORB",1,"RORB"
"RP11-240B13.2",1,"RP11-240B13.2"
"RPAIN",1,"RPAIN"
"RPE",1,"RPE"
"RPGR",1,"RPGR"
"RPGRIP1",1,"RPGRIP1"
"RPGRIP1L",1,"RPGRIP1L"
"RPL10A",1,"RPL10A"
"RPL12",1,"RPL12"
"RPL13A",1,"RPL13A"
"RPL18A",1,"RPL18A"
"RPL22",1,"RPL22"
"RPL22L1",1,"RPL22L1"
"RPL36AL",1,"RPL36AL"
"RPL4",1,"RPL4"
"RPL9",1,"RPL9"
"RPRD1B",1,"RPRD1B"
"RPS2",1,"RPS2"
"RPS4X",1,"RPS4X"
"RPS6KA4",1,"RPS6KA4"
"RPS6KB2",1,"RPS6KB2"
"RPTN",1,"RPTN"
"RPTOR",1,"RPTOR"
"RPUSD1",1,"RPUSD1"
"RRAGD",1,"RRAGD"
"RRN3",1,"RRN3"
"RRP1",1,"RRP1"
"RRP12",1,"RRP12"
"RRP8",1,"RRP8"
"RRP9",1,"RRP9"
"RSBN1",1,"RSBN1"
"RSBN1L",1,"RSBN1L"
"RSPH3",1,"RSPH3"
"RSRC2",1,"RSRC2"
"RSU1",1,"RSU1"
"RTKN",1,"RTKN"
"RTN3",1,"RTN3"
"RTN4RL1",1,"RTN4RL1"
"RTN4RL2",1,"RTN4RL2"
"RTP1",1,"RTP1"
"RUFY2",1,"RUFY2"
"RUFY3",1,"RUFY3"
"RUNDC1",1,"RUNDC1"
"RUNX1T1",1,"RUNX1T1"
"RUNX2",1,"RUNX2"
"RUSC1",1,"RUSC1"
"RXFP1",1,"RXFP1"
"RXFP2",1,"RXFP2"
"RYR3",1,"RYR3"
"S100A7",1,"S100A7"
"S100PBP",1,"S100PBP"
"S1PR1",1,"S1PR1"
"S1PR5",1,"S1PR5"
"SAAL1",1,"SAAL1"
"SACM1L",1,"SACM1L"
"SAMD3",1,"SAMD3"
"SAMD9",1,"SAMD9"
"SAMSN1",1,"SAMSN1"
"SAP130",1,"SAP130"
"SARAF",1,"SARAF"
"SARDH",1,"SARDH"
"SASH3",1,"SASH3"
"SAXO2",1,"SAXO2"
"SBF2",1,"SBF2"
"SCAF11",1,"SCAF11"
"SCAF8",1,"SCAF8"
"SCAI",1,"SCAI"
"SCAPER",1,"SCAPER"
"SCARB2",1,"SCARB2"
"SCEL",1,"SCEL"
"SCIN",1,"SCIN"
"SCML2",1,"SCML2"
"SCN11A",1,"SCN11A"
"SCN5A",1,"SCN5A"
"SCN7A",1,"SCN7A"
"SCN8A",1,"SCN8A"
"SCPEP1",1,"SCPEP1"
"SDAD1",1,"SDAD1"
"SDC1",1,"SDC1"
"SDC2",1,"SDC2"
"SDC3",1,"SDC3"
"SDC4",1,"SDC4"
"SDCBP2",1,"SDCBP2"
"SDCCAG8",1,"SDCCAG8"
"SDHAF2",1,"SDHAF2"
"SDK2",1,"SDK2"
"SDPR",1,"SDPR"
"SDS",1,"SDS"
"SEC23A",1,"SEC23A"
"SEC24B",1,"SEC24B"
"SEC24D",1,"SEC24D"
"SECISBP2",1,"SECISBP2"
"SECISBP2L",1,"SECISBP2L"
"SEL1L2",1,"SEL1L2"
"SEL1L3",1,"SEL1L3"
"SELENBP1",1,"SELENBP1"
"SEMA3A",1,"SEMA3A"
"SEMA3B",1,"SEMA3B"
"SEMA4B",1,"SEMA4B"
"SEMA6B",1,"SEMA6B"
"SEMA7A",1,"SEMA7A"
"SEMG1",1,"SEMG1"
"SENP1",1,"SENP1"
"SENP5",1,"SENP5"
"SEPSECS",1,"SEPSECS"
"SEPT10",1,"SEPT10"
"SEPT5",1,"SEPT5"
"SEPT6",1,"SEPT6"
"SEPT9",1,"SEPT9"
"SERPINA1",1,"SERPINA1"
"SERPINB11",1,"SERPINB11"
"SERPINB3",1,"SERPINB3"
"SERPINC1",1,"SERPINC1"
"SERPINE3",1,"SERPINE3"
"SERPING1",1,"SERPING1"
"SERPINH1",1,"SERPINH1"
"SERTAD3",1,"SERTAD3"
"SESN3",1,"SESN3"
"SESTD1",1,"SESTD1"
"SETD1A",1,"SETD1A"
"SETDB1",1,"SETDB1"
"SETX",1,"SETX"
"SF3A1",1,"SF3A1"
"SGCB",1,"SGCB"
"SGCE",1,"SGCE"
"SGK223",1,"SGK223"
"SGTB",1,"SGTB"
"SH2D2A",1,"SH2D2A"
"SH2D3C",1,"SH2D3C"
"SH2D4A",1,"SH2D4A"
"SH2D6",1,"SH2D6"
"SH3BP4",1,"SH3BP4"
"SH3GL2",1,"SH3GL2"
"SH3GL3",1,"SH3GL3"
"SH3GLB2",1,"SH3GLB2"
"SH3KBP1",1,"SH3KBP1"
"SH3PXD2B",1,"SH3PXD2B"
"SH3RF1",1,"SH3RF1"
"SH3TC1",1,"SH3TC1"
"SHANK1",1,"SHANK1"
"SHANK2",1,"SHANK2"
"SHCBP1",1,"SHCBP1"
"SHPRH",1,"SHPRH"
"SHROOM1",1,"SHROOM1"
"SHROOM3",1,"SHROOM3"
"SIAE",1,"SIAE"
"SIDT1",1,"SIDT1"
"SIDT2",1,"SIDT2"
"SIGLEC6",1,"SIGLEC6"
"SIL1",1,"SIL1"
"SIM1",1,"SIM1"
"SIN3A",1,"SIN3A"
"SIPA1L2",1,"SIPA1L2"
"SIRPG",1,"SIRPG"
"SIRT4",1,"SIRT4"
"SIX5",1,"SIX5"
"SKA2",1,"SKA2"
"SKAP2",1,"SKAP2"
"SKIDA1",1,"SKIDA1"
"SKOR1",1,"SKOR1"
"SLA",1,"SLA"
"SLAIN1",1,"SLAIN1"
"SLAIN2",1,"SLAIN2"
"SLAMF8",1,"SLAMF8"
"SLC10A5",1,"SLC10A5"
"SLC12A5",1,"SLC12A5"
"SLC17A2",1,"SLC17A2"
"SLC17A4",1,"SLC17A4"
"SLC17A6",1,"SLC17A6"
"SLC17A7",1,"SLC17A7"
"SLC19A2",1,"SLC19A2"
"SLC1A2",1,"SLC1A2"
"SLC22A16",1,"SLC22A16"
"SLC22A3",1,"SLC22A3"
"SLC22A6",1,"SLC22A6"
"SLC23A2",1,"SLC23A2"
"SLC24A1",1,"SLC24A1"
"SLC24A5",1,"SLC24A5"
"SLC25A10",1,"SLC25A10"
"SLC25A12",1,"SLC25A12"
"SLC25A13",1,"SLC25A13"
"SLC25A15",1,"SLC25A15"
"SLC25A17",1,"SLC25A17"
"SLC25A33",1,"SLC25A33"
"SLC25A43",1,"SLC25A43"
"SLC26A2",1,"SLC26A2"
"SLC26A6",1,"SLC26A6"
"SLC26A8",1,"SLC26A8"
"SLC26A9",1,"SLC26A9"
"SLC27A2",1,"SLC27A2"
"SLC27A3",1,"SLC27A3"
"SLC28A1",1,"SLC28A1"
"SLC28A2",1,"SLC28A2"
"SLC29A1",1,"SLC29A1"
"SLC2A14",1,"SLC2A14"
"SLC2A2",1,"SLC2A2"
"SLC2A9",1,"SLC2A9"
"SLC30A4",1,"SLC30A4"
"SLC31A2",1,"SLC31A2"
"SLC35D2",1,"SLC35D2"
"SLC35E3",1,"SLC35E3"
"SLC35F4",1,"SLC35F4"
"SLC38A6",1,"SLC38A6"
"SLC38A7",1,"SLC38A7"
"SLC39A14",1,"SLC39A14"
"SLC3A1",1,"SLC3A1"
"SLC3A2",1,"SLC3A2"
"SLC40A1",1,"SLC40A1"
"SLC41A1",1,"SLC41A1"
"SLC41A3",1,"SLC41A3"
"SLC43A2",1,"SLC43A2"
"SLC44A2",1,"SLC44A2"
"SLC46A1",1,"SLC46A1"
"SLC46A3",1,"SLC46A3"
"SLC47A1",1,"SLC47A1"
"SLC4A10",1,"SLC4A10"
"SLC4A4",1,"SLC4A4"
"SLC4A8",1,"SLC4A8"
"SLC50A1",1,"SLC50A1"
"SLC52A3",1,"SLC52A3"
"SLC5A10",1,"SLC5A10"
"SLC5A5",1,"SLC5A5"
"SLC5A8",1,"SLC5A8"
"SLC6A14",1,"SLC6A14"
"SLC6A16",1,"SLC6A16"
"SLC6A18",1,"SLC6A18"
"SLC6A2",1,"SLC6A2"
"SLC7A11",1,"SLC7A11"
"SLC7A13",1,"SLC7A13"
"SLC7A4",1,"SLC7A4"
"SLC8A1",1,"SLC8A1"
"SLC8A3",1,"SLC8A3"
"SLC9A1",1,"SLC9A1"
"SLC9A2",1,"SLC9A2"
"SLC9A6",1,"SLC9A6"
"SLC9A8",1,"SLC9A8"
"SLC9B2",1,"SLC9B2"
"SLCO1B1",1,"SLCO1B1"
"SLCO1B3",1,"SLCO1B3"
"SLCO2A1",1,"SLCO2A1"
"SLCO4C1",1,"SLCO4C1"
"SLCO6A1",1,"SLCO6A1"
"SLITRK1",1,"SLITRK1"
"SLITRK6",1,"SLITRK6"
"SLMAP",1,"SLMAP"
"SLTM",1,"SLTM"
"SLX4",1,"SLX4"
"SMAD2",1,"SMAD2"
"SMAD9",1,"SMAD9"
"SMARCAD1",1,"SMARCAD1"
"SMARCD3",1,"SMARCD3"
"SMC1B",1,"SMC1B"
"SMC4",1,"SMC4"
"SMC5",1,"SMC5"
"SMCR8",1,"SMCR8"
"SMEK2",1,"SMEK2"
"SMG5",1,"SMG5"
"SMPD4",1,"SMPD4"
"SMPDL3B",1,"SMPDL3B"
"SMUG1",1,"SMUG1"
"SMURF2",1,"SMURF2"
"SNAP47",1,"SNAP47"
"SND1",1,"SND1"
"SNRNP200",1,"SNRNP200"
"SNRNP27",1,"SNRNP27"
"SNRNP35",1,"SNRNP35"
"SNRNP48",1,"SNRNP48"
"SNRNP70",1,"SNRNP70"
"SNX19",1,"SNX19"
"SNX2",1,"SNX2"
"SNX20",1,"SNX20"
"SNX25",1,"SNX25"
"SNX27",1,"SNX27"
"SNX7",1,"SNX7"
"SOBP",1,"SOBP"
"SOD1",1,"SOD1"
"SOD2",1,"SOD2"
"SOGA1",1,"SOGA1"
"SOGA3",1,"SOGA3"
"SORBS3",1,"SORBS3"
"SOS2",1,"SOS2"
"SOSTDC1",1,"SOSTDC1"
"SOWAHD",1,"SOWAHD"
"SOX12",1,"SOX12"
"SOX2",1,"SOX2"
"SOX30",1,"SOX30"
"SP1",1,"SP1"
"SP140",1,"SP140"
"SP140L",1,"SP140L"
"SP3",1,"SP3"
"SPAG17",1,"SPAG17"
"SPAG6",1,"SPAG6"
"SPAM1",1,"SPAM1"
"SPANXB1",1,"SPANXB1"
"SPATA13",1,"SPATA13"
"SPATA17",1,"SPATA17"
"SPATA2",1,"SPATA2"
"SPATA22",1,"SPATA22"
"SPATA25",1,"SPATA25"
"SPATA31A1",1,"SPATA31A1"
"SPATA31D1",1,"SPATA31D1"
"SPATA32",1,"SPATA32"
"SPATA7",1,"SPATA7"
"SPATA8",1,"SPATA8"
"SPATS1",1,"SPATS1"
"SPDYA",1,"SPDYA"
"SPECC1L",1,"SPECC1L"
"SPG11",1,"SPG11"
"SPG21",1,"SPG21"
"SPIB",1,"SPIB"
"SPIN1",1,"SPIN1"
"SPINK5",1,"SPINK5"
"SPINK9",1,"SPINK9"
"SPNS1",1,"SPNS1"
"SPOCD1",1,"SPOCD1"
"SPOCK3",1,"SPOCK3"
"SPOP",1,"SPOP"
"SPRED2",1,"SPRED2"
"SPTAN1",1,"SPTAN1"
"SPTB",1,"SPTB"
"SPTBN1",1,"SPTBN1"
"SPTBN5",1,"SPTBN5"
"SPTY2D1",1,"SPTY2D1"
"SRC",1,"SRC"
"SREK1",1,"SREK1"
"SRGAP3",1,"SRGAP3"
"SRP68",1,"SRP68"
"SRP72",1,"SRP72"
"SRPR",1,"SRPR"
"SRPX",1,"SRPX"
"SRPX2",1,"SRPX2"
"SRR",1,"SRR"
"SRRM1",1,"SRRM1"
"SRSF11",1,"SRSF11"
"SRSF12",1,"SRSF12"
"SSBP2",1,"SSBP2"
"SSFA2",1,"SSFA2"
"SSTR2",1,"SSTR2"
"SSX1",1,"SSX1"
"ST5",1,"ST5"
"ST6GALNAC2",1,"ST6GALNAC2"
"ST6GALNAC4",1,"ST6GALNAC4"
"ST6GALNAC6",1,"ST6GALNAC6"
"ST7",1,"ST7"
"ST8SIA3",1,"ST8SIA3"
"ST8SIA6",1,"ST8SIA6"
"STAB1",1,"STAB1"
"STAC2",1,"STAC2"
"STAC3",1,"STAC3"
"STAG1",1,"STAG1"
"STAG2",1,"STAG2"
"STAG3",1,"STAG3"
"STAM2",1,"STAM2"
"STAR",1,"STAR"
"STARD3",1,"STARD3"
"STARD8",1,"STARD8"
"STAT2",1,"STAT2"
"STAT4",1,"STAT4"
"STATH",1,"STATH"
"STC2",1,"STC2"
"STEAP2",1,"STEAP2"
"STEAP3",1,"STEAP3"
"STIM1",1,"STIM1"
"STK25",1,"STK25"
"STK26",1,"STK26"
"STK31",1,"STK31"
"STOML1",1,"STOML1"
"STOML2",1,"STOML2"
"STON1-GTF2A1L",1,"STON1-GTF2A1L"
"STON2",1,"STON2"
"STOX2",1,"STOX2"
"STRA6",1,"STRA6"
"STT3B",1,"STT3B"
"STUB1",1,"STUB1"
"STX16",1,"STX16"
"STX19",1,"STX19"
"STX4",1,"STX4"
"STX7",1,"STX7"
"STXBP3",1,"STXBP3"
"STXBP4",1,"STXBP4"
"SUCO",1,"SUCO"
"SUFU",1,"SUFU"
"SUGP1",1,"SUGP1"
"SULT2A1",1,"SULT2A1"
"SUPT16H",1,"SUPT16H"
"SUPT6H",1,"SUPT6H"
"SUSD2",1,"SUSD2"
"SUV39H2",1,"SUV39H2"
"SUV420H1",1,"SUV420H1"
"SUV420H2",1,"SUV420H2"
"SUZ12",1,"SUZ12"
"SV2C",1,"SV2C"
"SVOPL",1,"SVOPL"
"SWSAP1",1,"SWSAP1"
"SYCE1",1,"SYCE1"
"SYCP2",1,"SYCP2"
"SYNCRIP",1,"SYNCRIP"
"SYNE3",1,"SYNE3"
"SYNGR4",1,"SYNGR4"
"SYNJ1",1,"SYNJ1"
"SYT1",1,"SYT1"
"SYT12",1,"SYT12"
"SYT16",1,"SYT16"
"SYT17",1,"SYT17"
"SYTL2",1,"SYTL2"
"SYTL4",1,"SYTL4"
"SYTL5",1,"SYTL5"
"T",1,"T"
"TADA2A",1,"TADA2A"
"TAF1B",1,"TAF1B"
"TAF5",1,"TAF5"
"TAF5L",1,"TAF5L"
"TALDO1",1,"TALDO1"
"TAMM41",1,"TAMM41"
"TANC1",1,"TANC1"
"TAOK1",1,"TAOK1"
"TAP1",1,"TAP1"
"TAPBP",1,"TAPBP"
"TAS1R2",1,"TAS1R2"
"TAS1R3",1,"TAS1R3"
"TAS2R1",1,"TAS2R1"
"TAS2R31",1,"TAS2R31"
"TAS2R42",1,"TAS2R42"
"TAS2R7",1,"TAS2R7"
"TATDN3",1,"TATDN3"
"TBC1D1",1,"TBC1D1"
"TBC1D14",1,"TBC1D14"
"TBC1D16",1,"TBC1D16"
"TBC1D22B",1,"TBC1D22B"
"TBC1D2B",1,"TBC1D2B"
"TBC1D4",1,"TBC1D4"
"TBC1D9B",1,"TBC1D9B"
"TBCEL",1,"TBCEL"
"TBCK",1,"TBCK"
"TBL1Y",1,"TBL1Y"
"TBL3",1,"TBL3"
"TBX15",1,"TBX15"
"TBX19",1,"TBX19"
"TBX20",1,"TBX20"
"TBX22",1,"TBX22"
"TBX3",1,"TBX3"
"TBX5",1,"TBX5"
"TCAF1",1,"TCAF1"
"TCAP",1,"TCAP"
"TCEAL2",1,"TCEAL2"
"TCEAL3",1,"TCEAL3"
"TCEAL5",1,"TCEAL5"
"TCEAL6",1,"TCEAL6"
"TCEB3",1,"TCEB3"
"TCEB3B",1,"TCEB3B"
"TCERG1",1,"TCERG1"
"TCF3",1,"TCF3"
"TCF7L2",1,"TCF7L2"
"TCHP",1,"TCHP"
"TCN1",1,"TCN1"
"TCP11L1",1,"TCP11L1"
"TCP11L2",1,"TCP11L2"
"TCTE1",1,"TCTE1"
"TDO2",1,"TDO2"
"TDRD5",1,"TDRD5"
"TEAD4",1,"TEAD4"
"TECR",1,"TECR"
"TECTA",1,"TECTA"
"TEP1",1,"TEP1"
"TES",1,"TES"
"TESK2",1,"TESK2"
"TESPA1",1,"TESPA1"
"TEX101",1,"TEX101"
"TEX11",1,"TEX11"
"TF",1,"TF"
"TFAP2D",1,"TFAP2D"
"TFPI2",1,"TFPI2"
"TFR2",1,"TFR2"
"TGFBR2",1,"TGFBR2"
"TGFBRAP1",1,"TGFBRAP1"
"TGM4",1,"TGM4"
"TGOLN2",1,"TGOLN2"
"THADA",1,"THADA"
"THAP5",1,"THAP5"
"THAP7",1,"THAP7"
"THAP9",1,"THAP9"
